datum,status_sportschool_model,corona_intensity,sportschool_gesloten,max_personen_per_ruimte,groepslessen_verboden
2019-02-03,Open,0,0,,0
2019-02-04,Open,0,0,,0
2019-02-05,Open,0,0,,0
2019-02-06,Open,0,0,,0
2019-02-07,Open,0,0,,0
2019-02-08,Open,0,0,,0
2019-02-09,Open,0,0,,0
2019-02-10,Open,0,0,,0
2019-02-11,Open,0,0,,0
2019-02-12,Open,0,0,,0
2019-02-13,Open,0,0,,0
2019-02-14,Open,0,0,,0
2019-02-15,Open,0,0,,0
2019-02-16,Open,0,0,,0
2019-02-17,Open,0,0,,0
2019-02-18,Open,0,0,,0
2019-02-19,Open,0,0,,0
2019-02-20,Open,0,0,,0
2019-02-21,Open,0,0,,0
2019-02-22,Open,0,0,,0
2019-02-23,Open,0,0,,0
2019-02-24,Open,0,0,,0
2019-02-25,Open,0,0,,0
2019-02-26,Open,0,0,,0
2019-02-27,Open,0,0,,0
2019-02-28,Open,0,0,,0
2019-03-01,Open,0,0,,0
2019-03-02,Open,0,0,,0
2019-03-03,Open,0,0,,0
2019-03-04,Open,0,0,,0
2019-03-05,Open,0,0,,0
2019-03-06,Open,0,0,,0
2019-03-07,Open,0,0,,0
2019-03-08,Open,0,0,,0
2019-03-09,Open,0,0,,0
2019-03-10,Open,0,0,,0
2019-03-11,Open,0,0,,0
2019-03-12,Open,0,0,,0
2019-03-13,Open,0,0,,0
2019-03-14,Open,0,0,,0
2019-03-15,Open,0,0,,0
2019-03-16,Open,0,0,,0
2019-03-17,Open,0,0,,0
2019-03-18,Open,0,0,,0
2019-03-19,Open,0,0,,0
2019-03-20,Open,0,0,,0
2019-03-21,Open,0,0,,0
2019-03-22,Open,0,0,,0
2019-03-23,Open,0,0,,0
2019-03-24,Open,0,0,,0
2019-03-25,Open,0,0,,0
2019-03-26,Open,0,0,,0
2019-03-27,Open,0,0,,0
2019-03-28,Open,0,0,,0
2019-03-29,Open,0,0,,0
2019-03-30,Open,0,0,,0
2019-03-31,Open,0,0,,0
2019-04-01,Open,0,0,,0
2019-04-02,Open,0,0,,0
2019-04-03,Open,0,0,,0
2019-04-04,Open,0,0,,0
2019-04-05,Open,0,0,,0
2019-04-06,Open,0,0,,0
2019-04-07,Open,0,0,,0
2019-04-08,Open,0,0,,0
2019-04-09,Open,0,0,,0
2019-04-10,Open,0,0,,0
2019-04-11,Open,0,0,,0
2019-04-12,Open,0,0,,0
2019-04-13,Open,0,0,,0
2019-04-14,Open,0,0,,0
2019-04-15,Open,0,0,,0
2019-04-16,Open,0,0,,0
2019-04-17,Open,0,0,,0
2019-04-18,Open,0,0,,0
2019-04-19,Open,0,0,,0
2019-04-20,Open,0,0,,0
2019-04-21,Open,0,0,,0
2019-04-22,Open,0,0,,0
2019-04-23,Open,0,0,,0
2019-04-24,Open,0,0,,0
2019-04-25,Open,0,0,,0
2019-04-26,Open,0,0,,0
2019-04-27,Open,0,0,,0
2019-04-28,Open,0,0,,0
2019-04-29,Open,0,0,,0
2019-04-30,Open,0,0,,0
2019-05-01,Open,0,0,,0
2019-05-02,Open,0,0,,0
2019-05-03,Open,0,0,,0
2019-05-04,Open,0,0,,0
2019-05-05,Open,0,0,,0
2019-05-06,Open,0,0,,0
2019-05-07,Open,0,0,,0
2019-05-08,Open,0,0,,0
2019-05-09,Open,0,0,,0
2019-05-10,Open,0,0,,0
2019-05-11,Open,0,0,,0
2019-05-12,Open,0,0,,0
2019-05-13,Open,0,0,,0
2019-05-14,Open,0,0,,0
2019-05-15,Open,0,0,,0
2019-05-16,Open,0,0,,0
2019-05-17,Open,0,0,,0
2019-05-18,Open,0,0,,0
2019-05-19,Open,0,0,,0
2019-05-20,Open,0,0,,0
2019-05-21,Open,0,0,,0
2019-05-22,Open,0,0,,0
2019-05-23,Open,0,0,,0
2019-05-24,Open,0,0,,0
2019-05-25,Open,0,0,,0
2019-05-26,Open,0,0,,0
2019-05-27,Open,0,0,,0
2019-05-28,Open,0,0,,0
2019-05-29,Open,0,0,,0
2019-05-30,Open,0,0,,0
2019-05-31,Open,0,0,,0
2019-06-01,Open,0,0,,0
2019-06-02,Open,0,0,,0
2019-06-03,Open,0,0,,0
2019-06-04,Open,0,0,,0
2019-06-05,Open,0,0,,0
2019-06-06,Open,0,0,,0
2019-06-07,Open,0,0,,0
2019-06-08,Open,0,0,,0
2019-06-09,Open,0,0,,0
2019-06-10,Open,0,0,,0
2019-06-11,Open,0,0,,0
2019-06-12,Open,0,0,,0
2019-06-13,Open,0,0,,0
2019-06-14,Open,0,0,,0
2019-06-15,Open,0,0,,0
2019-06-16,Open,0,0,,0
2019-06-17,Open,0,0,,0
2019-06-18,Open,0,0,,0
2019-06-19,Open,0,0,,0
2019-06-20,Open,0,0,,0
2019-06-21,Open,0,0,,0
2019-06-22,Open,0,0,,0
2019-06-23,Open,0,0,,0
2019-06-24,Open,0,0,,0
2019-06-25,Open,0,0,,0
2019-06-26,Open,0,0,,0
2019-06-27,Open,0,0,,0
2019-06-28,Open,0,0,,0
2019-06-29,Open,0,0,,0
2019-06-30,Open,0,0,,0
2019-07-01,Open,0,0,,0
2019-07-02,Open,0,0,,0
2019-07-03,Open,0,0,,0
2019-07-04,Open,0,0,,0
2019-07-05,Open,0,0,,0
2019-07-06,Open,0,0,,0
2019-07-07,Open,0,0,,0
2019-07-08,Open,0,0,,0
2019-07-09,Open,0,0,,0
2019-07-10,Open,0,0,,0
2019-07-11,Open,0,0,,0
2019-07-12,Open,0,0,,0
2019-07-13,Open,0,0,,0
2019-07-14,Open,0,0,,0
2019-07-15,Open,0,0,,0
2019-07-16,Open,0,0,,0
2019-07-17,Open,0,0,,0
2019-07-18,Open,0,0,,0
2019-07-19,Open,0,0,,0
2019-07-20,Open,0,0,,0
2019-07-21,Open,0,0,,0
2019-07-22,Open,0,0,,0
2019-07-23,Open,0,0,,0
2019-07-24,Open,0,0,,0
2019-07-25,Open,0,0,,0
2019-07-26,Open,0,0,,0
2019-07-27,Open,0,0,,0
2019-07-28,Open,0,0,,0
2019-07-29,Open,0,0,,0
2019-07-30,Open,0,0,,0
2019-07-31,Open,0,0,,0
2019-08-01,Open,0,0,,0
2019-08-02,Open,0,0,,0
2019-08-03,Open,0,0,,0
2019-08-04,Open,0,0,,0
2019-08-05,Open,0,0,,0
2019-08-06,Open,0,0,,0
2019-08-07,Open,0,0,,0
2019-08-08,Open,0,0,,0
2019-08-09,Open,0,0,,0
2019-08-10,Open,0,0,,0
2019-08-11,Open,0,0,,0
2019-08-12,Open,0,0,,0
2019-08-13,Open,0,0,,0
2019-08-14,Open,0,0,,0
2019-08-15,Open,0,0,,0
2019-08-16,Open,0,0,,0
2019-08-17,Open,0,0,,0
2019-08-18,Open,0,0,,0
2019-08-19,Open,0,0,,0
2019-08-20,Open,0,0,,0
2019-08-21,Open,0,0,,0
2019-08-22,Open,0,0,,0
2019-08-23,Open,0,0,,0
2019-08-24,Open,0,0,,0
2019-08-25,Open,0,0,,0
2019-08-26,Open,0,0,,0
2019-08-27,Open,0,0,,0
2019-08-28,Open,0,0,,0
2019-08-29,Open,0,0,,0
2019-08-30,Open,0,0,,0
2019-08-31,Open,0,0,,0
2019-09-01,Open,0,0,,0
2019-09-02,Open,0,0,,0
2019-09-03,Open,0,0,,0
2019-09-04,Open,0,0,,0
2019-09-05,Open,0,0,,0
2019-09-06,Open,0,0,,0
2019-09-07,Open,0,0,,0
2019-09-08,Open,0,0,,0
2019-09-09,Open,0,0,,0
2019-09-10,Open,0,0,,0
2019-09-11,Open,0,0,,0
2019-09-12,Open,0,0,,0
2019-09-13,Open,0,0,,0
2019-09-14,Open,0,0,,0
2019-09-15,Open,0,0,,0
2019-09-16,Open,0,0,,0
2019-09-17,Open,0,0,,0
2019-09-18,Open,0,0,,0
2019-09-19,Open,0,0,,0
2019-09-20,Open,0,0,,0
2019-09-21,Open,0,0,,0
2019-09-22,Open,0,0,,0
2019-09-23,Open,0,0,,0
2019-09-24,Open,0,0,,0
2019-09-25,Open,0,0,,0
2019-09-26,Open,0,0,,0
2019-09-27,Open,0,0,,0
2019-09-28,Open,0,0,,0
2019-09-29,Open,0,0,,0
2019-09-30,Open,0,0,,0
2019-10-01,Open,0,0,,0
2019-10-02,Open,0,0,,0
2019-10-03,Open,0,0,,0
2019-10-04,Open,0,0,,0
2019-10-05,Open,0,0,,0
2019-10-06,Open,0,0,,0
2019-10-07,Open,0,0,,0
2019-10-08,Open,0,0,,0
2019-10-09,Open,0,0,,0
2019-10-10,Open,0,0,,0
2019-10-11,Open,0,0,,0
2019-10-12,Open,0,0,,0
2019-10-13,Open,0,0,,0
2019-10-14,Open,0,0,,0
2019-10-15,Open,0,0,,0
2019-10-16,Open,0,0,,0
2019-10-17,Open,0,0,,0
2019-10-18,Open,0,0,,0
2019-10-19,Open,0,0,,0
2019-10-20,Open,0,0,,0
